week,category,weekly_rank,Movie Name,season_title,weekly_hours_viewed,Duration,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
2023-10-29,Films (English),2,Pain Hustlers,,29300000,2.0833,14100000.0,1,False,
2023-10-29,Films (English),3,No Hard Feelings,,22700000,1.7333,13100000.0,2,False,
2023-10-29,Films (English),4,Cold Pursuit,,13200000,1.9667,6700000.0,1,False,
2023-10-29,Films (English),5,Alvin and the Chipmunks: Chipwrecked,,5700000,1.45,3900000.0,2,False,
2023-10-29,Films (English),6,Monster High: The Movie,,5700000,1.4833,3800000.0,1,False,
2023-10-29,Films (English),7,Reptile,,7900000,2.2667,3500000.0,5,False,
2023-10-29,Films (English),8,Minions,,4500000,1.5167,3000000.0,1,False,
2023-10-29,Films (English),9,Hotel Transylvania 2,,4200000,1.5,2800000.0,4,False,
2023-10-29,Films (English),10,Alvin and the Chipmunks: The Squeakquel,,3900000,1.4833,2600000.0,1,False,
2023-10-22,Films (English),1,Old Dads,,23100000,1.7333,13300000.0,1,False,
2023-10-22,Films (English),2,The Devil on Trial,,11000000,1.3667,8000000.0,1,False,
2023-10-22,Films (English),3,Gemini Man,,14300000,1.95,7300000.0,5,False,
2023-10-22,Films (English),4,Reptile,,15800000,2.2667,7000000.0,4,False,
2023-10-22,Films (English),5,Long Shot,,8800000,2.0833,4200000.0,1,False,
2023-10-22,Films (English),6,Fair Play,,7300000,1.9167,3800000.0,3,False,
2023-10-22,Films (English),7,No Hard Feelings,,6600000,1.7333,3800000.0,1,False,
2023-10-22,Films (English),8,Tammy,,6000000,1.6,3800000.0,1,False,
2023-10-22,Films (English),9,Spy Kids,,5400000,1.4667,3700000.0,1,False,
2023-10-22,Films (English),10,Scary Movie,,5400000,1.4667,3700000.0,1,False,
2023-10-15,Films (English),1,Reptile,,32300000,2.2667,14200000.0,3,False,
2023-10-15,Films (English),2,Fair Play,,26900000,1.9167,14000000.0,2,False,
2023-10-15,Films (English),3,Gemini Man,,10300000,1.95,5300000.0,4,False,
2023-10-15,Films (English),4,American Made,,9300000,1.9167,4900000.0,1,False,
2023-10-15,Films (English),5,Mean Girls,,6300000,1.6167,3900000.0,3,False,
2023-10-15,Films (English),6,Ma,,5800000,1.65,3500000.0,1,False,
2023-10-15,Films (English),7,Casper,,5400000,1.6667,3200000.0,1,False,
2023-10-15,Films (English),8,Tyson's Run,,5400000,1.7167,3100000.0,1,False,
2023-10-15,Films (English),9,The Lost City,,5800000,1.8667,3100000.0,1,False,
2023-10-15,Films (English),10,Get Out,,5300000,1.7333,3100000.0,2,False,
2023-10-08,Films (English),1,Reptile,,45100000,2.2667,19900000.0,2,False,
2023-10-08,Films (English),2,Fair Play,,24200000,1.9167,12600000.0,1,False,
2023-10-08,Films (English),3,Love is in the Air,,10700000,1.4833,7200000.0,2,False,
2023-10-08,Films (English),4,Life of a King,,10600000,1.6833,6300000.0,1,False,
2023-10-08,Films (English),5,Infinite,,8600000,1.7667,4900000.0,1,False,
2023-10-08,Films (English),6,Mean Girls,,7300000,1.6167,4500000.0,2,False,
2023-10-08,Films (English),7,Spy Kids: Armageddon,,7100000,1.6333,4300000.0,3,False,
2023-10-08,Films (English),8,Last Vegas,,7200000,1.75,4100000.0,1,False,
2023-10-08,Films (English),9,Identity Thief,,7300000,1.85,3900000.0,1,False,
2023-10-08,Films (English),10,The Black Book,,7700000,2.0667,3700000.0,3,False,
2023-10-01,Films (English),1,Reptile,,40200000,2.2667,17700000.0,1,False,
2023-10-01,Films (English),2,Love is in the Air,,17300000,1.4833,11700000.0,1,False,
2023-10-01,Films (English),3,The Black Book,,23100000,2.0667,11200000.0,2,False,
2023-10-01,Films (English),4,Spy Kids: Armageddon,,14700000,1.6333,9000000.0,2,False,
2023-10-01,Films (English),5,The Croods: A New Age,,14100000,1.5833,8900000.0,2,False,
2023-10-01,Films (English),6,Love at First Sight,,11400000,1.5167,7500000.0,3,False,
2023-10-01,Films (English),7,Accused,,4900000,1.4667,3300000.0,1,False,
2023-10-01,Films (English),8,The Machine,,5700000,1.8667,3100000.0,1,False,
2023-10-01,Films (English),9,In Time,,5400000,1.8167,3000000.0,3,False,
2023-10-01,Films (English),10,Force of Nature,,4500000,1.65,2700000.0,1,False,
2023-09-24,Films (English),1,Love at First Sight,,23000000,1.5167,15200000.0,2,False,
2023-09-24,Films (English),2,Spy Kids: Armageddon,,11000000,1.6333,6700000.0,1,False,
2023-09-24,Films (English),3,In Time,,10400000,1.8167,5700000.0,2,False,
2023-09-24,Films (English),4,The Black Book,,11600000,2.0667,5600000.0,1,False,
2023-09-24,Films (English),5,The Croods: A New Age,,8700000,1.5833,5500000.0,1,False,
2023-09-24,Films (English),6,The Wolf of Wall Street,,9700000,3.0,3200000.0,1,False,
2023-09-24,Films (English),7,The Deep House,,4000000,1.3667,2900000.0,1,False,
2023-09-24,Films (English),8,Crawl,,4200000,1.45,2900000.0,1,False,
2023-09-24,Films (English),9,Mother's Day,,5100000,1.9667,2600000.0,2,False,
2023-09-24,Films (English),10,You Are So Not Invited to My Bat Mitzvah,,4300000,1.7333,2500000.0,5,False,
2023-09-17,Films (English),1,Love at First Sight,,21400000,1.5167,14100000.0,1,False,
2023-09-17,Films (English),2,You Are So Not Invited to My Bat Mitzvah,,7400000,1.7333,4300000.0,4,False,
2023-09-17,Films (English),3,Woody Woodpecker,,5300000,1.5167,3500000.0,2,False,
2023-09-17,Films (English),4,Dr. Seuss' The Grinch,,4900000,1.4333,3400000.0,2,False,
2023-09-17,Films (English),5,Fifty Shades Freed,,5900000,1.75,3400000.0,1,False,
2023-09-17,Films (English),6,The Croods,,5200000,1.6333,3200000.0,7,False,
2023-09-17,Films (English),7,All My Life,,4600000,1.5333,3000000.0,1,False,
2023-09-17,Films (English),8,Leatherface,,4300000,1.4667,2900000.0,1,False,
2023-09-17,Films (English),9,The Boss Baby,,4600000,1.6333,2800000.0,13,False,
2023-09-17,Films (English),10,Jack Reacher: Never Go Back,,5200000,1.9667,2600000.0,3,False,
2023-09-10,Films (English),1,You Are So Not Invited to My Bat Mitzvah,,15300000,1.7333,8800000.0,3,False,
