"row_id","movie_name","rating","votes","meta_score","genre0","genre1","genre2","genre3","pr_rating","year","duration","cast0","cast1","cast2","cast3","cast4","director","number_rating","weekly_rank","weekly_hours_viewed","weekly_views","cumulative_weeks_in_top_10"
680,"Army of the Dead","5.8","183000","57","Action, Crime, Drama","Action"," Crime"," Drama","R",2021,"2.467","Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick","Dave Bautista"," Ella Purnell"," Ana de la Reguera"," Omari Hardwick","Zack Snyder","4",4,"16910000",NULL,2
680,"Army of the Dead","5.8","183000","57","Action, Crime, Drama","Action"," Crime"," Drama","R",2021,"2.467","Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick","Dave Bautista"," Ella Purnell"," Ana de la Reguera"," Omari Hardwick","Zack Snyder","4",7,"5780000",NULL,1
229,"Beauty and the Beast","7.1","329000","65","Adventure, Family, Fantasy","Adventure"," Family"," Fantasy","PG",2017,"2.150","Emma Watson, Dan Stevens, Luke Evans, Josh Gad","Emma Watson"," Dan Stevens"," Luke Evans"," Josh Gad","Bill Condon","2",10,"1150000",NULL,4
1204,"Beauty and the Beast","8","474000","95","Animation, Family, Fantasy","Animation"," Family"," Fantasy","G",1991,"1.400","Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart","Paige O'Hara"," Robby Benson"," Jesse Corti"," Rex Everhart","Gary TrousdaleKirk Wise","1",10,"1150000",NULL,4
229,"Beauty and the Beast","7.1","329000","65","Adventure, Family, Fantasy","Adventure"," Family"," Fantasy","PG",2017,"2.150","Emma Watson, Dan Stevens, Luke Evans, Josh Gad","Emma Watson"," Dan Stevens"," Luke Evans"," Josh Gad","Bill Condon","2",10,"1800000",NULL,3
1204,"Beauty and the Beast","8","474000","95","Animation, Family, Fantasy","Animation"," Family"," Fantasy","G",1991,"1.400","Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart","Paige O'Hara"," Robby Benson"," Jesse Corti"," Rex Everhart","Gary TrousdaleKirk Wise","1",10,"1800000",NULL,3
229,"Beauty and the Beast","7.1","329000","65","Adventure, Family, Fantasy","Adventure"," Family"," Fantasy","PG",2017,"2.150","Emma Watson, Dan Stevens, Luke Evans, Josh Gad","Emma Watson"," Dan Stevens"," Luke Evans"," Josh Gad","Bill Condon","2",9,"1790000",NULL,2
1204,"Beauty and the Beast","8","474000","95","Animation, Family, Fantasy","Animation"," Family"," Fantasy","G",1991,"1.400","Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart","Paige O'Hara"," Robby Benson"," Jesse Corti"," Rex Everhart","Gary TrousdaleKirk Wise","1",9,"1790000",NULL,2
229,"Beauty and the Beast","7.1","329000","65","Adventure, Family, Fantasy","Adventure"," Family"," Fantasy","PG",2017,"2.150","Emma Watson, Dan Stevens, Luke Evans, Josh Gad","Emma Watson"," Dan Stevens"," Luke Evans"," Josh Gad","Bill Condon","2",7,"2740000",NULL,1
1204,"Beauty and the Beast","8","474000","95","Animation, Family, Fantasy","Animation"," Family"," Fantasy","G",1991,"1.400","Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart","Paige O'Hara"," Robby Benson"," Jesse Corti"," Rex Everhart","Gary TrousdaleKirk Wise","1",7,"2740000",NULL,1
116,"Blade Runner 2049","8","637000","81","Action, Drama, Mystery","Action"," Drama"," Mystery","R",2017,"2.733","Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista","Harrison Ford"," Ryan Gosling"," Ana de Armas"," Dave Bautista","Denis Villeneuve","4",6,"7850000",NULL,1
688,"Blonde","5.5","70000","50","Drama, History","Drama"," History",NULL,"NC-17",2022,"2.783","Ana de Armas, Lily Fisher, Julianne Nicholson, Tygh Runyan","Ana de Armas"," Lily Fisher"," Julianne Nicholson"," Tygh Runyan","Andrew Dominik","5",9,"6090000",NULL,3
688,"Blonde","5.5","70000","50","Drama, History","Drama"," History",NULL,"NC-17",2022,"2.783","Ana de Armas, Lily Fisher, Julianne Nicholson, Tygh Runyan","Ana de Armas"," Lily Fisher"," Julianne Nicholson"," Tygh Runyan","Andrew Dominik","5",4,"17410000",NULL,2
688,"Blonde","5.5","70000","50","Drama, History","Drama"," History",NULL,"NC-17",2022,"2.783","Ana de Armas, Lily Fisher, Julianne Nicholson, Tygh Runyan","Ana de Armas"," Lily Fisher"," Julianne Nicholson"," Tygh Runyan","Andrew Dominik","5",2,"37340000",NULL,1
225,"Bullet Train","7.3","398000","49","Action, Comedy, Thriller","Action"," Comedy"," Thriller","R",2022,"2.117","Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry","Brad Pitt"," Joey King"," Aaron Taylor-Johnson"," Brian Tyree Henry","David Leitch","4",10,"6940000",NULL,5
225,"Bullet Train","7.3","398000","49","Action, Comedy, Thriller","Action"," Comedy"," Thriller","R",2022,"2.117","Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry","Brad Pitt"," Joey King"," Aaron Taylor-Johnson"," Brian Tyree Henry","David Leitch","4",9,"7250000",NULL,4
225,"Bullet Train","7.3","398000","49","Action, Comedy, Thriller","Action"," Comedy"," Thriller","R",2022,"2.117","Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry","Brad Pitt"," Joey King"," Aaron Taylor-Johnson"," Brian Tyree Henry","David Leitch","4",4,"13530000",NULL,3
225,"Bullet Train","7.3","398000","49","Action, Comedy, Thriller","Action"," Comedy"," Thriller","R",2022,"2.117","Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry","Brad Pitt"," Joey King"," Aaron Taylor-Johnson"," Brian Tyree Henry","David Leitch","4",3,"24620000",NULL,2
225,"Bullet Train","7.3","398000","49","Action, Comedy, Thriller","Action"," Comedy"," Thriller","R",2022,"2.117","Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry","Brad Pitt"," Joey King"," Aaron Taylor-Johnson"," Brian Tyree Henry","David Leitch","4",5,"11320000",NULL,1
314,"Burlesque","6.4","92000","47","Drama, Music, Musical","Drama"," Music"," Musical","PG-13",2010,"1.983","Cher, Christina Aguilera, Alan Cumming, Eric Dane","Cher"," Christina Aguilera"," Alan Cumming"," Eric Dane","Steve Antin","3",10,"5540000",NULL,1
1590,"Casper","6.2","145000","49","Comedy, Family, Fantasy","Comedy"," Family"," Fantasy","PG",1995,"1.667","Bill Pullman, Christina Ricci, Cathy Moriarty, Eric Idle","Bill Pullman"," Christina Ricci"," Cathy Moriarty"," Eric Idle","Brad Silberling","2",7,"5400000","3200000",1
1866,"Charlie's Angels","5.6","194000","52","Action, Adventure, Comedy","Action"," Adventure"," Comedy","PG-13",2000,"1.633","Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray","Cameron Diaz"," Drew Barrymore"," Lucy Liu"," Bill Murray","McG","3",10,"4920000",NULL,1
27,"Chicken Run: Dawn of the Nugget","6.5","6300","63","Animation, Adventure, Comedy","Animation"," Adventure"," Comedy","PG",2023,"1.683","Thandiwe Newton, Zachary Levi, Bella Ramsey, Imelda Staunton","Thandiwe Newton"," Zachary Levi"," Bella Ramsey"," Imelda Staunton","Sam Fell","2",2,"20300000","11900000",1
1383,"Cold Pursuit","6.2","76000","57","Action, Comedy, Crime","Action"," Comedy"," Crime","R",2019,"1.983","Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund","Liam Neeson"," Laura Dern"," Micheál Neeson"," Michael Eklund","Hans Petter Moland","4",7,"5900000","3000000",4
1383,"Cold Pursuit","6.2","76000","57","Action, Comedy, Crime","Action"," Comedy"," Crime","R",2019,"1.983","Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund","Liam Neeson"," Laura Dern"," Micheál Neeson"," Michael Eklund","Hans Petter Moland","4",10,"6700000","3400000",3
1383,"Cold Pursuit","6.2","76000","57","Action, Comedy, Crime","Action"," Comedy"," Crime","R",2019,"1.983","Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund","Liam Neeson"," Laura Dern"," Micheál Neeson"," Michael Eklund","Hans Petter Moland","4",3,"17300000","8800000",2
1383,"Cold Pursuit","6.2","76000","57","Action, Comedy, Crime","Action"," Comedy"," Crime","R",2019,"1.983","Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund","Liam Neeson"," Laura Dern"," Micheál Neeson"," Michael Eklund","Hans Petter Moland","4",4,"13200000","6700000",1
1380,"Collateral","7.5","427000","71","Action, Crime, Drama","Action"," Crime"," Drama","R",2004,"2","Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo","Tom Cruise"," Jamie Foxx"," Jada Pinkett Smith"," Mark Ruffalo","Michael Mann","4",10,"6100000",NULL,1
1560,"Den of Thieves","7","121000","49","Action, Crime, Drama","Action"," Crime"," Drama","R",2018,"2.333","Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent","Gerard Butler"," Pablo Schreiber"," O'Shea Jackson Jr."," 50 Cent","Christian Gudegast","4",9,"5420000",NULL,1
1637,"Despicable Me","7.6","574000","72","Animation, Adventure, Comedy","Animation"," Adventure"," Comedy","PG",2010,"1.583","Steve Carell, Jason Segel, Russell Brand, Julie Andrews","Steve Carell"," Jason Segel"," Russell Brand"," Julie Andrews","Pierre CoffinChris Renaud","2",9,"5590000",NULL,4
1637,"Despicable Me","7.6","574000","72","Animation, Adventure, Comedy","Animation"," Adventure"," Comedy","PG",2010,"1.583","Steve Carell, Jason Segel, Russell Brand, Julie Andrews","Steve Carell"," Jason Segel"," Russell Brand"," Julie Andrews","Pierre CoffinChris Renaud","2",9,"7170000",NULL,3
1637,"Despicable Me","7.6","574000","72","Animation, Adventure, Comedy","Animation"," Adventure"," Comedy","PG",2010,"1.583","Steve Carell, Jason Segel, Russell Brand, Julie Andrews","Steve Carell"," Jason Segel"," Russell Brand"," Julie Andrews","Pierre CoffinChris Renaud","2",6,"8950000",NULL,2
1637,"Despicable Me","7.6","574000","72","Animation, Adventure, Comedy","Animation"," Adventure"," Comedy","PG",2010,"1.583","Steve Carell, Jason Segel, Russell Brand, Julie Andrews","Steve Carell"," Jason Segel"," Russell Brand"," Julie Andrews","Pierre CoffinChris Renaud","2",8,"6850000",NULL,1
277,"Don't Look Up","7.2","580000","49","Comedy, Drama, Sci-Fi","Comedy"," Drama"," Sci-Fi","R",2021,"2.300","Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett","Leonardo DiCaprio"," Jennifer Lawrence"," Meryl Streep"," Cate Blanchett","Adam McKay","4",10,"5360000",NULL,8
277,"Don't Look Up","7.2","580000","49","Comedy, Drama, Sci-Fi","Comedy"," Drama"," Sci-Fi","R",2021,"2.300","Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett","Leonardo DiCaprio"," Jennifer Lawrence"," Meryl Streep"," Cate Blanchett","Adam McKay","4",7,"6930000",NULL,7
277,"Don't Look Up","7.2","580000","49","Comedy, Drama, Sci-Fi","Comedy"," Drama"," Sci-Fi","R",2021,"2.300","Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett","Leonardo DiCaprio"," Jennifer Lawrence"," Meryl Streep"," Cate Blanchett","Adam McKay","4",4,"10250000",NULL,6
277,"Don't Look Up","7.2","580000","49","Comedy, Drama, Sci-Fi","Comedy"," Drama"," Sci-Fi","R",2021,"2.300","Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett","Leonardo DiCaprio"," Jennifer Lawrence"," Meryl Streep"," Cate Blanchett","Adam McKay","4",3,"17130000",NULL,5
277,"Don't Look Up","7.2","580000","49","Comedy, Drama, Sci-Fi","Comedy"," Drama"," Sci-Fi","R",2021,"2.300","Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett","Leonardo DiCaprio"," Jennifer Lawrence"," Meryl Streep"," Cate Blanchett","Adam McKay","4",2,"28390000",NULL,4
277,"Don't Look Up","7.2","580000","49","Comedy, Drama, Sci-Fi","Comedy"," Drama"," Sci-Fi","R",2021,"2.300","Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett","Leonardo DiCaprio"," Jennifer Lawrence"," Meryl Streep"," Cate Blanchett","Adam McKay","4",1,"58200000",NULL,3
277,"Don't Look Up","7.2","580000","49","Comedy, Drama, Sci-Fi","Comedy"," Drama"," Sci-Fi","R",2021,"2.300","Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett","Leonardo DiCaprio"," Jennifer Lawrence"," Meryl Streep"," Cate Blanchett","Adam McKay","4",1,"152290000",NULL,2
277,"Don't Look Up","7.2","580000","49","Comedy, Drama, Sci-Fi","Comedy"," Drama"," Sci-Fi","R",2021,"2.300","Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett","Leonardo DiCaprio"," Jennifer Lawrence"," Meryl Streep"," Cate Blanchett","Adam McKay","4",1,"111030000",NULL,1
1411,"Dora and the Lost City of Gold","6.1","34000","63","Action, Adventure, Comedy","Action"," Adventure"," Comedy","PG",2019,"1.700","Isabela Merced, Eugenio Derbez, Michael Peña, Eva Longoria","Isabela Merced"," Eugenio Derbez"," Michael Peña"," Eva Longoria","James Bobin","2",10,"4900000","2900000",2
